I0301 09:48:28.143281    1535 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0301 09:48:28.143344    1535 serve.go:44] Command line: ["/home/ramagirisunny11/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0301 09:48:28.144816    1535 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0301 09:48:28.259739    1535 configuration.go:182] product updateChannel will be used
W0301 09:48:28.259779    1535 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0301 09:48:28.259792    1535 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0301 09:48:28.259810    1535 configuration.go:642] language thresholds: map[]
I0301 09:48:28.259826    1535 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0301 09:48:28.259847    1535 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018c6c01 StopSequences:map[] DataFilePromptLines:0}
I0301 09:48:28.259945    1535 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0018c6c11 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0301 09:48:28.260080    1535 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0301 09:48:28.260133    1535 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0301 09:48:28.260144    1535 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0301 09:48:28.260181    1535 configuration.go:284] Configured settings for canCancelRequests: true
I0301 09:48:28.260199    1535 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0301 09:48:28.260905    1535 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
[Error - 10:48:31 AM] Server process exited with code 0.
I0301 10:48:31.712601    2661 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0301 10:48:31.712645    2661 serve.go:44] Command line: ["/home/ramagirisunny11/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0301 10:48:31.714419    2661 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0301 10:48:31.822043    2661 configuration.go:182] product updateChannel will be used
W0301 10:48:31.822085    2661 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0301 10:48:31.822098    2661 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0301 10:48:31.822123    2661 configuration.go:642] language thresholds: map[]
I0301 10:48:31.822150    2661 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0301 10:48:31.822188    2661 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001767391 StopSequences:map[] DataFilePromptLines:0}
I0301 10:48:31.822226    2661 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc0017673a1 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0301 10:48:31.822381    2661 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0301 10:48:31.822420    2661 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
